date_int,fechaocupacion,temp,weather,rain,rain_total,idhotel
20181108,2018-11-08,17,1,0.0,0,PAV
20181109,2018-11-09,17,1,15.7,2,PAV
20181110,2018-11-10,18,1,0.0,0,PAV
20181111,2018-11-11,19,1,0.0,0,PAV
20181112,2018-11-12,18,1,0.0,0,PAV
20181113,2018-11-13,19,1,0.0,0,PAV
20181114,2018-11-14,18,1,0.0,0,PAV
20181115,2018-11-15,18,1,2.2,2,PAV
20181116,2018-11-16,17,1,0.1,1,PAV
20181117,2018-11-17,16,1,0.4,1,PAV
20181118,2018-11-18,14,1,0.0,0,PAV
20181119,2018-11-19,14,2,0.2,1,PAV
20181120,2018-11-20,15,1,0.7,1,PAV
20181121,2018-11-21,16,1,0.0,0,PAV
20181122,2018-11-22,16,1,0.0,0,PAV
20181123,2018-11-23,14,1,1.2,2,PAV
20181124,2018-11-24,15,1,0.0,0,PAV
20181125,2018-11-25,15,1,0.0,0,PAV
20181126,2018-11-26,15,1,1.7,2,PAV
20181127,2018-11-27,15,1,0.0,0,PAV
20181128,2018-11-28,16,1,0.0,0,PAV
20181129,2018-11-29,15,3,0.0,0,PAV
20181101,2018-11-01,16,1,0.9,1,SAL
20181102,2018-11-02,17,1,0.1,1,SAL
20181103,2018-11-03,16,1,0.0,0,SAL
20181104,2018-11-04,18,1,0.0,0,SAL
20181105,2018-11-05,17,3,4.9,2,SAL
20181106,2018-11-06,16,1,0.0,0,SAL
20181107,2018-11-07,17,1,0.0,0,SAL
20181108,2018-11-08,17,1,0.0,0,SAL
20181109,2018-11-09,17,1,15.7,2,SAL
20181110,2018-11-10,18,1,0.0,0,SAL
20181111,2018-11-11,19,1,0.0,0,SAL
20181112,2018-11-12,18,1,0.0,0,SAL
20181113,2018-11-13,19,1,0.0,0,SAL
20181114,2018-11-14,18,1,0.0,0,SAL
20181115,2018-11-15,18,1,2.2,2,SAL
20181116,2018-11-16,17,1,0.1,1,SAL
20181117,2018-11-17,16,1,0.4,1,SAL
20181118,2018-11-18,14,1,0.0,0,SAL
20181119,2018-11-19,14,2,0.2,1,SAL
20181120,2018-11-20,15,1,0.7,1,SAL
20181121,2018-11-21,16,1,0.0,0,SAL
20181122,2018-11-22,16,1,0.0,0,SAL
20181123,2018-11-23,14,1,1.2,2,SAL
20181124,2018-11-24,15,1,0.0,0,SAL
20181125,2018-11-25,15,1,0.0,0,SAL
20181126,2018-11-26,15,1,1.7,2,SAL
20181127,2018-11-27,15,1,0.0,0,SAL
